LogUtils.java, ERROR, WebUIDriver{  }|Unable to find the elementNewEmailVerification.btnpolicies
LogUtils.java, TRACE, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316] }|Report Event: type:FAILED:details:{ actual = Failed to click on element NewEmailVerification.btnpolicies ; expected =  NewEmailVerification.btnpolicies element NewEmailVerification.btnpolicies should be clicked ; name = click on element ; screenDump = true }
LogUtils.java, TRACE, ScreenDumpManager{ {folderpath=, pattern=} }|Report log
LogUtils.java, TRACE, ScreenDumpManager{ {folderpath=, pattern=} }|DumpScreen : C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ScreenShots/NewEmailVerification/NewEmailVerification_Summary_0_199.png
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:DETAILS:TestResult{  }:{ actual = Failed to click on element NewEmailVerification.btnpolicies , expected =  NewEmailVerification.btnpolicies element NewEmailVerification.btnpolicies should be clicked , name = click on element , screenDump = true }
LogUtils.java, ERROR, WebUIDriver{  }|Error: Failed to click on the element |NewEmailVerification.btnpolicies| |java.lang.NullPointerException
LogUtils.java, ERROR, NewEmailVerificationDriver|Error: Failed in executing component |NewEmailVerification| |Error: Failed to click on the element |NewEmailVerification.btnpolicies| |java.lang.NullPointerException
LogUtils.java,  INFO, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316] }|FINISH : track STATUS : ERROR
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:FINISH:TestResult{  }:ERROR
LogUtils.java, TRACE, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316] }|Report Event: type:WARNING:details:{ actual =  and execution continued despite unexpected result in component ; expected =  ; name =  ; screenDump = true }
LogUtils.java, TRACE, ScreenDumpManager{ {folderpath=, pattern=} }|Report log
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:DETAILS:TestResult{  }:{ actual =  and execution continued despite unexpected result in component , expected =  , name =  , screenDump = true }
LogUtils.java,  INFO, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316] }|FINISH : track STATUS : WARNING
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:FINISH:TestResult{  }:WARNING
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Do not clear cell content as cell has formula
LogUtils.java,  INFO, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316] }|FINISH : run STATUS : ERROR
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:FINISH:TestResult{  }:ERROR
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Do not clear cell content as cell has formula
LogUtils.java,  INFO, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316] }|FINISH : runTest STATUS : ERROR
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:FINISH:TestResult{  }:ERROR
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:START:TestResult{  }:PolicyLevelHistory
LogUtils.java,  INFO, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316] }|START : runTest
LogUtils.java, TRACE, TestSetRunner{ cbf.harness.Harness@3d075dc0 }|GetTestCase(), instanceMap
LogUtils.java, TRACE, ExcelAccess{ {enableStepSelection=true, folderpath=, enableIterationSelection=true} }|getTestCase()
LogUtils.java, TRACE, ExcelAccess{ {enableStepSelection=true, folderpath=, enableIterationSelection=true} }|DeserializeTest(PolicyLevelHistory;C:\Igate\CBFCafeNext//Projects//SeleniumProject/Plan/TestCases/PolicyLevelHistory.xls)
LogUtils.java, TRACE, ExcelAccess{ {folderpath=} }|SelectRows(login-loginBillingCenter-_DefaultCompRow)
LogUtils.java, TRACE, ExcelAccess{ {folderpath=} }|TryFilePath(login-loginBillingCenter.xlsx)
LogUtils.java, TRACE, ExcelAccess{ {folderpath=} }|Data file loginBillingCenter.xlsx does not exists. |C:\Igate\CBFCafeNext//Projects//SeleniumProject/Plan/Data/login/loginBillingCenter.xlsx|Plan/Data/login
LogUtils.java, TRACE, ExcelAccess{ {folderpath=} }|TryFilePath(-loginData.xls)
LogUtils.java, TRACE, ExcelAccess{ {folderpath=} }|TryFilePath(-loginData.xls)=C:\Igate\CBFCafeNext//Projects//SeleniumProject/Plan/Data/loginData.xls
LogUtils.java, TRACE, ExcelDeserializer{ ExcelAccess{ {folderpath=} }DTAccess{ C:\Igate\CBFCafeNext//Projects//SeleniumProject/Plan/TestCases/PolicyLevelHistory.xls }PolicyLevelHistoryC:\Igate\CBFCafeNext//Projects//SeleniumProject/Plan/TestCases/PolicyLevelHistory.xls{enableStepSelection=true, folderpath=, enableIterationSelection=true} }|Step added:{ moduleCode = login ; offlineRowId = _DefaultCompRow ; componentCode = loginBillingCenter ; stepName = Summary   Login to Application ; abortTestIfUnexpected = true ; inlineRowId =  ; _selectYN = Y }:#0
LogUtils.java, TRACE, ExcelAccess{ {folderpath=} }|SelectRows(PolicyLevelHistory-PolicyLevelHistory-_DefaultCompRow)
LogUtils.java, TRACE, ExcelAccess{ {folderpath=} }|TryFilePath(PolicyLevelHistory-PolicyLevelHistory.xlsx)
LogUtils.java, TRACE, ExcelAccess{ {folderpath=} }|Data file PolicyLevelHistory.xlsx does not exists. |C:\Igate\CBFCafeNext//Projects//SeleniumProject/Plan/Data/PolicyLevelHistory/PolicyLevelHistory.xlsx|Plan/Data/PolicyLevelHistory
LogUtils.java, TRACE, ExcelAccess{ {folderpath=} }|TryFilePath(-PolicyLevelHistoryData.xls)
LogUtils.java, TRACE, ExcelAccess{ {folderpath=} }|TryFilePath(-PolicyLevelHistoryData.xls)=C:\Igate\CBFCafeNext//Projects//SeleniumProject/Plan/Data/PolicyLevelHistoryData.xls
LogUtils.java, TRACE, ExcelDeserializer{ ExcelAccess{ {folderpath=} }DTAccess{ C:\Igate\CBFCafeNext//Projects//SeleniumProject/Plan/TestCases/PolicyLevelHistory.xls }PolicyLevelHistoryC:\Igate\CBFCafeNext//Projects//SeleniumProject/Plan/TestCases/PolicyLevelHistory.xls{enableStepSelection=true, folderpath=, enableIterationSelection=true} }|Step added:{ moduleCode = PolicyLevelHistory ; offlineRowId = _DefaultCompRow ; componentCode = PolicyLevelHistory ; stepName = Summary ; abortTestIfUnexpected = false ; inlineRowId =  ; _selectYN = Y }:#0
LogUtils.java, TRACE, ExcelDeserializer{ ExcelAccess{ {folderpath=} }DTAccess{ C:\Igate\CBFCafeNext//Projects//SeleniumProject/Plan/TestCases/PolicyLevelHistory.xls }PolicyLevelHistoryC:\Igate\CBFCafeNext//Projects//SeleniumProject/Plan/TestCases/PolicyLevelHistory.xls{enableStepSelection=true, folderpath=, enableIterationSelection=true} }|Step row skipped:{ moduleCode = login ; offlineRowId = _DefaultCompRow ; componentCode = logOutBillingCenter ; stepName = Summary   LogOut ; abortTestIfUnexpected = true ; inlineRowId =  ; _selectYN = N }:#0
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:START:TestResult{  }:cbf.testAccess.ExcelDeserializer$2@aeab9a1
LogUtils.java,  INFO, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316, cbf.harness.ParameterAccess@40f70521] }|START : run
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:START:TestResult{  }:cbf.testAccess.ExcelDeserializer$3@774698ab
LogUtils.java,  INFO, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316, cbf.harness.ParameterAccess@40f70521] }|START : track
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:START:TestResult{  }:cbf.testAccess.ExcelDeserializer$3@774698ab
LogUtils.java,  INFO, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316, cbf.harness.ParameterAccess@40f70521] }|START : track
LogUtils.java, TRACE, TestCaseRunner{ ModuleDrivers.CompositeAppDriver@248e319bTestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316, cbf.harness.ParameterAccess@40f70521] } }|performComponent()
LogUtils.java, TRACE, TestCaseRunner{ ModuleDrivers.CompositeAppDriver@248e319bTestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316, cbf.harness.ParameterAccess@40f70521] } }|appdriver.perform( login_loginBillingCenter_{ _rowId = _DefaultCompRow ; Type@UserName = su ; Type@password = gw ; LaunchBrowser = https://phlygwbcqa1.corp.tmnas.com/bc/BillingCenter.do } ) 
LogUtils.java, TRACE, loginDriver|Executing.............loginBillingCenter with parameters DataRow{ _rowId = _DefaultCompRow;Type@UserName = su;Type@password = gw;LaunchBrowser = https://phlygwbcqa1.corp.tmnas.com/bc/BillingCenter.do; }
LogUtils.java, TRACE, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316, cbf.harness.ParameterAccess@40f70521] }|Report Event: type:PASSED:details:{ actual = https://phlygwbcqa1.corp.tmnas.com/bc/BillingCenter.do opened successfully ; expected = Should open https://phlygwbcqa1.corp.tmnas.com/bc/BillingCenter.do ; name = Open  https://phlygwbcqa1.corp.tmnas.com/bc/BillingCenter.do ; screenDump = true }
LogUtils.java, TRACE, ScreenDumpManager{ {folderpath=, pattern=} }|Report log
LogUtils.java, TRACE, ScreenDumpManager{ {folderpath=, pattern=} }|DumpScreen : C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ScreenShots/PolicyLevelHistory/PolicyLevelHistory_Summary___Login_to_Application_0_788.png
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:DETAILS:TestResult{  }:{ actual = https://phlygwbcqa1.corp.tmnas.com/bc/BillingCenter.do opened successfully , expected = Should open https://phlygwbcqa1.corp.tmnas.com/bc/BillingCenter.do , name = Open  https://phlygwbcqa1.corp.tmnas.com/bc/BillingCenter.do , screenDump = true }
LogUtils.java,  INFO, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316, cbf.harness.ParameterAccess@40f70521] }|FINISH : track STATUS : PASSED
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:FINISH:TestResult{  }:PASSED
LogUtils.java,  INFO, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316, cbf.harness.ParameterAccess@40f70521] }|FINISH : track STATUS : PASSED
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:FINISH:TestResult{  }:PASSED
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Do not clear cell content as cell has formula
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:START:TestResult{  }:cbf.testAccess.ExcelDeserializer$3@4cc6fa2a
LogUtils.java,  INFO, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316, cbf.harness.ParameterAccess@40f70521] }|START : track
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:START:TestResult{  }:cbf.testAccess.ExcelDeserializer$3@4cc6fa2a
LogUtils.java,  INFO, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316, cbf.harness.ParameterAccess@40f70521] }|START : track
LogUtils.java, TRACE, TestCaseRunner{ ModuleDrivers.CompositeAppDriver@248e319bTestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316, cbf.harness.ParameterAccess@40f70521] } }|performComponent()
LogUtils.java, TRACE, TestCaseRunner{ ModuleDrivers.CompositeAppDriver@248e319bTestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316, cbf.harness.ParameterAccess@40f70521] } }|appdriver.perform( PolicyLevelHistory_PolicyLevelHistory_{ Type@Document_Template = Audit Information Request ; _rowId = _DefaultCompRow ; Type@Name = shravan ; Type@body = body of the mail as test ; Type@Account_Name = REG-TESTACCOUNT5 ; Type@Subject = test ; Type@Email = gandla.kumar@tmnas.com ; Type@Filter = Audit Info Request Sent } ) 
LogUtils.java, TRACE, PolicyLevelHistoryDriver|Executing.............PolicyLevelHistory with parameters DataRow{ Type@Document_Template = Audit Information Request;_rowId = _DefaultCompRow;Type@Name = shravan;Type@body = body of the mail as test;Type@Account_Name = REG-TESTACCOUNT5;Type@Subject = test;Type@Email = gandla.kumar@tmnas.com;Type@Filter = Audit Info Request Sent; }
LogUtils.java, ERROR, WebUIDriver{  }|Unable to find the elementPolicyLevelHistory.eltPolicy
LogUtils.java, TRACE, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316, cbf.harness.ParameterAccess@40f70521] }|Report Event: type:FAILED:details:{ actual = Failed to click on element PolicyLevelHistory.eltPolicy ; expected =  PolicyLevelHistory.eltPolicy element PolicyLevelHistory.eltPolicy should be clicked ; name = click on element ; screenDump = true }
LogUtils.java, TRACE, ScreenDumpManager{ {folderpath=, pattern=} }|Report log
LogUtils.java, TRACE, ScreenDumpManager{ {folderpath=, pattern=} }|DumpScreen : C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ScreenShots/PolicyLevelHistory/PolicyLevelHistory_Summary_0_468.png
LogUtils.java, ERROR, WebUIDriver{  }|Error: Failed to take screenshots|org.openqa.selenium.NoSuchWindowException: Unable to get browser (WARNING: The server did not provide any stacktrace information)
Command duration or timeout: 4 milliseconds
Build info: version: 'unknown', revision: 'unknown', time: 'unknown'
System info: host: 'W00PISVDI247', ip: '10.60.202.198', os.name: 'Windows 7', os.arch: 'amd64', os.version: '6.1', java.version: '1.8.0_121'
Driver info: org.openqa.selenium.ie.InternetExplorerDriver
Capabilities [{se:ieOptions={browserAttachTimeout=0, ie.enableFullPageScreenshot=true, enablePersistentHover=true, ie.forceCreateProcessApi=false, ie.forceShellWindowsApi=false, ignoreZoomSetting=false, ie.fileUploadDialogTimeout=3000, ie.useLegacyFileUploadDialogHandling=false, nativeEvents=true, ie.ensureCleanSession=false, elementScrollBehavior=0, ie.browserCommandLineSwitches=, requireWindowFocus=false, initialBrowserUrl=http://localhost:38443/, ignoreProtectedModeSettings=false, enableElementCacheCleanup=true}, browserName=internet explorer, pageLoadStrategy=normal, javascriptEnabled=true, version=11, platform=WINDOWS, unexpectedAlertBehaviour=dismiss}]
Session ID: 6a038f44-3afa-4d14-a2e0-9db9b4fef855
LogUtils.java, ERROR, WebUIDriver{  }|Failed to take screenshots|sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)sun.reflect.NativeConstructorAccessorImpl.newInstance(Unknown Source)sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source)java.lang.reflect.Constructor.newInstance(Unknown Source)org.openqa.selenium.remote.ErrorHandler.createThrowable(ErrorHandler.java:206)org.openqa.selenium.remote.ErrorHandler.throwIfResponseFailed(ErrorHandler.java:158)org.openqa.selenium.remote.RemoteWebDriver.execute(RemoteWebDriver.java:647)org.openqa.selenium.remote.RemoteWebDriver.execute(RemoteWebDriver.java:670)org.openqa.selenium.ie.InternetExplorerDriver.getScreenshotAs(InternetExplorerDriver.java:194)cbfx.selenium.WebUIDriver.takescreenshot(WebUIDriver.java:1591)cbf.reporting.ScreenDumpManager.dumpScreen(ScreenDumpManager.java:186)cbf.reporting.ScreenDumpManager.log(ScreenDumpManager.java:124)cbf.engine.TestResultTracker.log(TestResultTracker.java:168)cbf.engine.TestResultLogger.log(TestResultLogger.java:130)cbf.engine.TestResultLogger.failed(TestResultLogger.java:71)cbfx.selenium.WebUIDriver.click(WebUIDriver.java:723)ModuleDrivers.US723_126_PolicyLevelHistoryDriver.PolicyLevelHistory(US723_126_PolicyLevelHistoryDriver.java:41)sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)java.lang.reflect.Method.invoke(Unknown Source)cbf.engine.BaseModuleDriver.invokeMethod(BaseModuleDriver.java:102)cbf.engine.BaseModuleDriver.eval(BaseModuleDriver.java:53)cbf.engine.BaseModuleDriver.perform(BaseModuleDriver.java:47)cbf.engine.BaseAppDriver.perform(BaseAppDriver.java:58)cbf.engine.TestCaseRunner.performComponent(TestCaseRunner.java:245)cbf.engine.TestCaseRunner.access$5(TestCaseRunner.java:236)cbf.engine.TestCaseRunner$4.run(TestCaseRunner.java:225)cbf.engine.TestResultTracker.track(TestResultTracker.java:135)cbf.engine.TestCaseRunner.runComponent(TestCaseRunner.java:220)cbf.engine.TestCaseRunner$3.run(TestCaseRunner.java:160)cbf.engine.TestResultTracker.track(TestResultTracker.java:135)cbf.engine.TestCaseRunner.runStep(TestCaseRunner.java:152)cbf.engine.TestCaseRunner$2.run(TestCaseRunner.java:132)cbf.engine.TestResultTracker.track(TestResultTracker.java:135)cbf.engine.TestCaseRunner.runIteration(TestCaseRunner.java:125)cbf.engine.TestCaseRunner.access$3(TestCaseRunner.java:124)cbf.engine.TestCaseRunner$1.run(TestCaseRunner.java:107)cbf.engine.TestResultTracker.track(TestResultTracker.java:135)cbf.engine.TestCaseRunner.runTestCase(TestCaseRunner.java:85)cbf.engine.Engine.runTestCase(Engine.java:54)cbf.harness.Harness.runTest(Harness.java:84)cbf.harness.TestSetRunner.runTestInstance(TestSetRunner.java:111)cbf.harness.TestSetRunner.runTestSet(TestSetRunner.java:80)cbf.harness.TestSetRunner.run(TestSetRunner.java:46)cbf.harness.Main.main(Main.java:44)
LogUtils.java, ERROR, PolicyLevelHistoryDriver|Error: Failed in executing component |PolicyLevelHistory| |Error: Failed to take screenshots|org.openqa.selenium.NoSuchWindowException: Unable to get browser (WARNING: The server did not provide any stacktrace information)
Command duration or timeout: 4 milliseconds
Build info: version: 'unknown', revision: 'unknown', time: 'unknown'
System info: host: 'W00PISVDI247', ip: '10.60.202.198', os.name: 'Windows 7', os.arch: 'amd64', os.version: '6.1', java.version: '1.8.0_121'
Driver info: org.openqa.selenium.ie.InternetExplorerDriver
Capabilities [{se:ieOptions={browserAttachTimeout=0, ie.enableFullPageScreenshot=true, enablePersistentHover=true, ie.forceCreateProcessApi=false, ie.forceShellWindowsApi=false, ignoreZoomSetting=false, ie.fileUploadDialogTimeout=3000, ie.useLegacyFileUploadDialogHandling=false, nativeEvents=true, ie.ensureCleanSession=false, elementScrollBehavior=0, ie.browserCommandLineSwitches=, requireWindowFocus=false, initialBrowserUrl=http://localhost:38443/, ignoreProtectedModeSettings=false, enableElementCacheCleanup=true}, browserName=internet explorer, pageLoadStrategy=normal, javascriptEnabled=true, version=11, platform=WINDOWS, unexpectedAlertBehaviour=dismiss}]
Session ID: 6a038f44-3afa-4d14-a2e0-9db9b4fef855
LogUtils.java,  INFO, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316, cbf.harness.ParameterAccess@40f70521] }|FINISH : track STATUS : ERROR
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:FINISH:TestResult{  }:ERROR
LogUtils.java, TRACE, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316, cbf.harness.ParameterAccess@40f70521] }|Report Event: type:WARNING:details:{ actual =  and execution continued despite unexpected result in component ; expected =  ; name =  ; screenDump = true }
LogUtils.java, TRACE, ScreenDumpManager{ {folderpath=, pattern=} }|Report log
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:DETAILS:TestResult{  }:{ actual =  and execution continued despite unexpected result in component , expected =  , name =  , screenDump = true }
LogUtils.java,  INFO, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316, cbf.harness.ParameterAccess@40f70521] }|FINISH : track STATUS : WARNING
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Report:FINISH:TestResult{  }:WARNING
LogUtils.java, TRACE, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }|Do not clear cell content as cell has formula
LogUtils.java,  INFO, TestResultTracker{ [ScreenDumpManager{ {folderpath=, pattern=} }, HtmlEventReporter{ {detailsPath=, pattern=, summaryPath=} }, ExcelReporter{ C:\Igate\CBFCafeNext//Logs//ExecutedOn_14-09-2018_Time_10-33-32/ExecutionReport.xlsx }, cbf.harness.ParameterAccess@173ed316, cbf.harness.ParameterAccess@40f70521] }|FINISH : run STATUS : ERROR
